                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.5139,                 1.0289,                0.96693,                 0.6698,                0.70316,                0.70646,                0.38479,                 1.4471,                 1.0311,                0.94802,               0.003169,               0.003169,               0.003169
                     71,                 1.4784,                 1.0195,                0.96977,                0.70009,                0.69342,                0.68925,                0.40785,                 1.3128,                 1.0106,                0.93186,                0.00307,                0.00307,                0.00307
                     72,                 1.5076,                 1.0194,                0.98268,                0.65165,                 0.6774,                0.71094,                0.38885,                 1.4162,                 1.0345,                0.94381,               0.002971,               0.002971,               0.002971
                     73,                 1.5124,                 1.0414,                0.97772,                0.66573,                0.67489,                0.70792,                0.39975,                 1.4691,                 1.0362,                0.95041,               0.002872,               0.002872,               0.002872
                     74,                 1.4931,                  1.027,                0.97012,                0.69604,                 0.6846,                0.71122,                0.41538,                 1.4038,                  1.034,                0.94383,               0.002773,               0.002773,               0.002773
                     75,                 1.4707,                 1.0177,                0.96065,                0.72255,                0.63917,                0.69258,                0.41766,                 1.3581,                 1.0178,                0.93268,               0.002674,               0.002674,               0.002674
                     76,                 1.4943,                 1.0212,                0.97084,                0.68921,                0.67948,                0.70491,                0.41739,                 1.3648,                  1.027,                0.93442,               0.002575,               0.002575,               0.002575
                     77,                 1.4634,                 1.0142,                0.96773,                0.71433,                0.62467,                 0.6925,                0.40862,                  1.354,                0.99908,                0.93555,               0.002476,               0.002476,               0.002476
                     78,                 1.4802,                 1.0021,                 0.9579,                0.72721,                0.65617,                0.70474,                0.42855,                 1.3097,                0.99882,                0.93031,               0.002377,               0.002377,               0.002377
                     79,                 1.4731,                 1.0058,                0.96631,                0.63203,                0.69495,                 0.6881,                0.39077,                 1.3332,                 0.9962,                0.93516,               0.002278,               0.002278,               0.002278
                     80,                 1.4827,                 1.0005,                0.96309,                0.70871,                0.62806,                0.70086,                 0.4065,                 1.3731,                0.99549,                0.93593,               0.002179,               0.002179,               0.002179
                     81,                 1.4695,                0.99035,                0.95661,                0.65573,                0.65825,                0.69273,                0.39695,                 1.4222,                 1.0558,                0.94532,                0.00208,                0.00208,                0.00208
