0a + 2b + 5c + 5d = weight 2346.21, charge 5, weight/charge 469.23261534769307
0a + 3b + 0c + 0d = weight 1910.19, charge 0, weight/charge 19101900.0
0a + 3b + 0c + 1d = weight 2059.26, charge -1, weight/charge -2059.4659465946597
0a + 3b + 0c + 2d = weight 2208.33, charge -2, weight/charge -1104.2202110105504
0a + 3b + 0c + 3d = weight 2357.40, charge -3, weight/charge -785.8261942064736
0a + 3b + 0c + 4d = weight 2506.47, charge -4, weight/charge -626.6331658291458
0a + 3b + 0c + 5d = weight 2655.54, charge -5, weight/charge -531.1186223724474
0a + 3b + 1c + 0d = weight 1975.67, charge 2, weight/charge 987.785610719464
0a + 3b + 1c + 1d = weight 2124.74, charge 1, weight/charge 2124.527547245276
0a + 3b + 1c + 2d = weight 2273.81, charge 0, weight/charge 22738100.0
0a + 3b + 1c + 3d = weight 2422.88, charge -1, weight/charge -2423.122312231223
0a + 3b + 1c + 4d = weight 2571.95, charge -2, weight/charge -1286.039301965098
0a + 3b + 1c + 5d = weight 2721.02, charge -3, weight/charge -907.036901230041
0a + 3b + 2c + 0d = weight 2041.15, charge 4, weight/charge 510.27474313142176
0a + 3b + 2c + 1d = weight 2190.22, charge 3, weight/charge 730.0489983667211
0a + 3b + 2c + 2d = weight 2339.29, charge 2, weight/charge 1169.586520673966
0a + 3b + 2c + 3d = weight 2488.36, charge 1, weight/charge 2488.111188881112
0a + 3b + 2c + 4d = weight 2637.43, charge 0, weight/charge 26374300.0
0a + 3b + 2c + 5d = weight 2786.50, charge -1, weight/charge -2786.778677867787
0a + 3b + 3c + 0d = weight 2106.63, charge 6, weight/charge 351.09914834752755
0a + 3b + 3c + 1d = weight 2255.70, charge 5, weight/charge 451.13097738045246
0a + 3b + 3c + 2d = weight 2404.77, charge 4, weight/charge 601.1774705632359
0a + 3b + 3c + 3d = weight 2553.84, charge 3, weight/charge 851.2516249458351
0a + 3b + 3c + 4d = weight 2702.91, charge 2, weight/charge 1351.3874306284683
0a + 3b + 3c + 5d = weight 2851.98, charge 1, weight/charge 2851.6948305169485
0a + 3b + 4c + 0d = weight 2172.11, charge 8, weight/charge 271.5103561205485
0a + 3b + 4c + 1d = weight 2321.18, charge 7, weight/charge 331.592405822774
0a + 3b + 4c + 2d = weight 2470.25, charge 6, weight/charge 411.7014716421393
0a + 3b + 4c + 3d = weight 2619.32, charge 5, weight/charge 523.8535229295414
0a + 3b + 4c + 4d = weight 2768.39, charge 4, weight/charge 692.0801979950503
0a + 3b + 4c + 5d = weight 2917.46, charge 3, weight/charge 972.4542515249491
0a + 3b + 5c + 0d = weight 2237.59, charge 10, weight/charge 223.7567624323757
0a + 3b + 5c + 1d = weight 2386.66, charge 9, weight/charge 265.18149798335577
0a + 3b + 5c + 2d = weight 2535.73, charge 8, weight/charge 316.9622879714004
0a + 3b + 5c + 3d = weight 2684.80, charge 7, weight/charge 383.5373780374566
0a + 3b + 5c + 4d = weight 2833.87, charge 6, weight/charge 472.30379493675105
0a + 3b + 5c + 5d = weight 2982.94, charge 5, weight/charge 596.5760684786304
0a + 4b + 0c + 0d = weight 2546.92, charge 0, weight/charge 25469200.0
0a + 4b + 0c + 1d = weight 2695.99, charge -1, weight/charge -2696.2596259625966
0a + 4b + 0c + 2d = weight 2845.06, charge -2, weight/charge -1422.6011300565028
0a + 4b + 0c + 3d = weight 2994.13, charge -3, weight/charge -998.0766025534185
0a + 4b + 0c + 4d = weight 3143.20, charge -4, weight/charge -785.8196454911373
0a + 4b + 0c + 5d = weight 3292.27, charge -5, weight/charge -658.4671693433868
0a + 4b + 1c + 0d = weight 2612.40, charge 2, weight/charge 1306.1346932653366
0a + 4b + 1c + 1d = weight 2761.47, charge 1, weight/charge 2761.193880611939
0a + 4b + 1c + 2d = weight 2910.54, charge 0, weight/charge 29105400.0
0a + 4b + 1c + 3d = weight 3059.61, charge -1, weight/charge -3059.91599159916
0a + 4b + 1c + 4d = weight 3208.68, charge -2, weight/charge -1604.4202210110507
0a + 4b + 1c + 5d = weight 3357.75, charge -3, weight/charge -1119.287309576986
0a + 4b + 2c + 0d = weight 2677.88, charge 4, weight/charge 669.4532636684083
0a + 4b + 2c + 1d = weight 2826.95, charge 3, weight/charge 942.2852571580947
0a + 4b + 2c + 2d = weight 2976.02, charge 2, weight/charge 1487.9356032198389
0a + 4b + 2c + 3d = weight 3125.09, charge 1, weight/charge 3124.7775222477753
0a + 4b + 2c + 4d = weight 3274.16, charge 0, weight/charge 32741599.999999996
0a + 4b + 2c + 5d = weight 3423.23, charge -1, weight/charge -3423.5723572357238
0a + 4b + 3c + 0d = weight 2743.36, charge 6, weight/charge 457.21904634922754
0a + 4b + 3c + 1d = weight 2892.43, charge 5, weight/charge 578.4744305113899
0a + 4b + 3c + 2d = weight 3041.50, charge 4, weight/charge 760.3559911002226
0a + 4b + 3c + 3d = weight 3190.57, charge 3, weight/charge 1063.4878837372087
0a + 4b + 3c + 4d = weight 3339.64, charge 2, weight/charge 1669.7365131743413
0a + 4b + 3c + 5d = weight 3488.71, charge 1, weight/charge 3488.361163883612
0a + 4b + 4c + 0d = weight 2808.84, charge 8, weight/charge 351.1006112423595
0a + 4b + 4c + 1d = weight 2957.91, charge 7, weight/charge 422.5525349637863
0a + 4b + 4c + 2d = weight 3106.98, charge 6, weight/charge 517.8213696438393
0a + 4b + 4c + 3d = weight 3256.05, charge 5, weight/charge 651.1969760604788
0a + 4b + 4c + 4d = weight 3405.12, charge 4, weight/charge 851.2587185320367
0a + 4b + 4c + 5d = weight 3554.19, charge 3, weight/charge 1184.6905103163226
0a + 4b + 5c + 0d = weight 2874.32, charge 10, weight/charge 287.42912570874296
0a + 4b + 5c + 1d = weight 3023.39, charge 9, weight/charge 335.928489683448
0a + 4b + 5c + 2d = weight 3172.46, charge 8, weight/charge 396.55254309321134
0a + 4b + 5c + 3d = weight 3321.53, charge 7, weight/charge 474.49750717846894
0a + 4b + 5c + 4d = weight 3470.60, charge 6, weight/charge 578.4236929384512
0a + 4b + 5c + 5d = weight 3619.67, charge 5, weight/charge 723.9195216095678
0a + 5b + 0c + 0d = weight 3183.65, charge 0, weight/charge 31836500.0
0a + 5b + 0c + 1d = weight 3332.72, charge -1, weight/charge -3333.0533053305335
0a + 5b + 0c + 2d = weight 3481.79, charge -2, weight/charge -1740.982049102455
0a + 5b + 0c + 3d = weight 3630.86, charge -3, weight/charge -1210.3270109003636
0a + 5b + 0c + 4d = weight 3779.93, charge -4, weight/charge -945.006125153129
0a + 5b + 0c + 5d = weight 3929.00, charge -5, weight/charge -785.8157163143262
0a + 5b + 1c + 0d = weight 3249.13, charge 2, weight/charge 1624.4837758112094
0a + 5b + 1c + 1d = weight 3398.20, charge 1, weight/charge 3397.8602139786026
0a + 5b + 1c + 2d = weight 3547.27, charge 0, weight/charge 35472700.0
0a + 5b + 1c + 3d = weight 3696.34, charge -1, weight/charge -3696.709670967097
0a + 5b + 1c + 4d = weight 3845.41, charge -2, weight/charge -1922.8011400570028
0a + 5b + 1c + 5d = weight 3994.48, charge -3, weight/charge -1331.5377179239308
0a + 5b + 2c + 0d = weight 3314.61, charge 4, weight/charge 828.631784205395
0a + 5b + 2c + 1d = weight 3463.68, charge 3, weight/charge 1154.5215159494683
0a + 5b + 2c + 2d = weight 3612.75, charge 2, weight/charge 1806.2846857657116
0a + 5b + 2c + 3d = weight 3761.82, charge 1, weight/charge 3761.4438556144387
0a + 5b + 2c + 4d = weight 3910.89, charge 0, weight/charge 39108900.0
0a + 5b + 2c + 5d = weight 4059.96, charge -1, weight/charge -4060.36603660366
0a + 5b + 3c + 0d = weight 3380.09, charge 6, weight/charge 563.3389443509275
0a + 5b + 3c + 1d = weight 3529.16, charge 5, weight/charge 705.8178836423273
0a + 5b + 3c + 2d = weight 3678.23, charge 4, weight/charge 919.5345116372091
0a + 5b + 3c + 3d = weight 3827.30, charge 3, weight/charge 1275.7241425285824
0a + 5b + 3c + 4d = weight 3976.37, charge 2, weight/charge 1988.0855957202136
0a + 5b + 3c + 5d = weight 4125.44, charge 1, weight/charge 4125.027497250276
0a + 5b + 4c + 0d = weight 3445.57, charge 8, weight/charge 430.69086636417046
0a + 5b + 4c + 1d = weight 3594.64, charge 7, weight/charge 513.5126641047985
0a + 5b + 4c + 2d = weight 3743.71, charge 6, weight/charge 623.9412676455393
0a + 5b + 4c + 3d = weight 3892.78, charge 5, weight/charge 778.5404291914163
